Title,Year,DOI
Exploring the Tunability and Dynamic Properties of MarR-PmarO Sensor System in Escherichia coli,2021,10.1021/acssynbio.1c00245
PhoU homologs from Staphylococcus aureus dimerization and protein interactions,2025,10.1128/spectrum.02067-24
Functional Mapping of Phenotypic Plasticity of Staphylococcus aureus Under Vancomycin Pressure,2021,10.3389/fmicb.2021.696730
An aspartyl protease-mediated cleavage regulates structure and function of a flavodoxin-like protein and aids oxidative stress survival,2021,10.1371/journal.ppat.1009355
Modeling HIV Pre-Exposure Prophylaxis,2020,10.3389/fphar.2019.01514
Quinolinecarboxamides Inhibit the Replication of the Bovine Viral Diarrhea Virus by Targeting a Hot Spot for the Inhibition of Pestivirus Replication in the RNA-Dependent RNA Polymerase,2020,10.3390/molecules25061283
Human ABCB1 with an ABCB11-like degenerate nucleotide binding site maintains transport activity by avoiding nucleotide occlusion,2020,10.1371/journal.pgen.1009016
Exploration of CviR-mediated quorum sensing inhibitors from Cladosporium spp. against Chromobacterium violaceum through computational studies,2023,10.1038/s41598-023-42833-4
Spiropyrimidinetriones: a Class of DNA Gyrase Inhibitors with Activity against Mycobacterium tuberculosis and without Cross-Resistance to Fluoroquinolones,2022,10.1128/aac.02192-21
A data-driven machine learning approach for discovering potent LasR inhibitors,2023,10.1080/21655979.2023.2243416
Functional and structural basis of E. coli enolase inhibition by SF2312: a mimic of the carbanion intermediate,2019,10.1038/s41598-019-53301-3
Genetic diversity of Mycobacterium leprae: Need to move towards genome-wide approaches,2024,10.4103/ijmr.ijmr_2383_22
Photoexcited state properties and antibacterial activities of carbon dots relevant to mechanistic features and implications,2020,10.1016/j.carbon.2020.08.025
Using quantitative polymerase chain reaction (qPCR) and occupancy models to estimate atypical Aeromonas hydrophila (aAh) prevalence in catfish,2021,10.1016/j.aquaculture.2020.735687
Virtual Screening and In Vitro Experimental Verification of LuxS Inhibitors for Escherichia coli O157:H7,2023,10.1128/spectrum.03502-22
Synthetic gene-regulatory networks in the opportunistic human pathogen Streptococcus pneumoniae,2020,10.1073/pnas.1920015117
"Chitosan/Gold Hybrid Nanoparticles Enriched Electrospun PVA Nanofibrous Mats for the Topical Delivery of Punica granatum L. Extract: Synthesis, Characterization, Biocompatibility and Antibacterial Properties",2021,10.2147/IJN.S306526
Function of Cytochrome P450s and Gut Microbiome in Biopesticide Adaptation of Grapholita molesta on Different Host Diets,2023,10.3390/ijms242015435
Genome-wide epistasis and co-selection study using mutual information,2019,10.1093/nar/gkz656
Biosynthesis and Characterization of Silver Nanoparticles and Simvastatin Association in Titanium Biofilms,2024,10.3390/ph17121612
The Best of All Worlds: Streptococcus pneumoniae Conjunctivitis through the Lens of Community Ecology and Microbial Biogeography,2020,10.3390/microorganisms8010046
Semaphorin 3F signaling actively retains neutrophils at sites of inflammation,2020,10.1172/JCI130834
The pore-forming action of polyenes: From model membranes to living organisms,2019,10.1016/j.bbamem.2018.11.006
Dual RNAseq highlights the kinetics of skin microbiome and fish host responsiveness to bacterial infection,2021,10.1186/s42523-021-00097-1
Understanding the evolution of multiple drug resistance in structured populations,2021,10.7554/eLife.65645
A de novo approach to inferring within-host fitness effects during untreated HIV-1 infection,2020,10.1371/journal.ppat.1008171
Insights into dynamic changes in ADC-7 and P99 cephalosporinases using small angle x-ray scattering (SAXS),2024,10.1080/07391102.2023.2240427
Lentiviral Infections Persist in Brain despite Effective Antiretroviral Therapy and Neuroimmune Activation,2021,10.1128/mBio.02784-21
Predicting the viability of beta-lactamase: How folding and binding free energies correlate with beta-lactamase fitness,2020,10.1371/journal.pone.0233509
"Functional Degeneracy in Paracoccus denitrificans Pd1222 Is Coordinated via RamB, Which Links Expression of the Glyoxylate Cycle to Activity of the Ethylmalonyl-CoA Pathway",2023,10.1128/aem.00238-23
In Silico Structural Modeling and Analysis of Interactions of Tremellomycetes Cytochrome P450 Monooxygenases CYP51s with Substrates and Azoles,2021,10.3390/ijms22157811
Negative interactions determine Clostridioides difficile growth in synthetic human gut communities,2021,10.15252/msb.202110355
Modelling and optimization of membrane process for removal of biologics (pathogens) from water and wastewater: Current perspectives and challenges,2024,10.1016/j.heliyon.2024.e29864
The phenylalanine ammonia-lyase inhibitor AIP induces rice defence against the root-knot nematode Meloidogyne graminicola,2024,10.1111/mpp.13424
Escape of TLR5 Recognition by Leptospira spp.: A Rationale for Atypical Endoflagella,2020,10.3389/fimmu.2020.02007
A genomic snapshot of Salmonella enterica serovar Typhi in Colombia,2021,10.1371/journal.pntd.0009755
Napthyridine-derived compounds as promising inhibitors for Staphylococcus aureus CrtM: a primer for the discovery of potential anti-Staphylococcus aureus agents,2023,10.3389/fmicb.2023.1279082
Mutant fate in spatially structured populations on graphs: Connecting models to experiments,2024,10.1371/journal.pcbi.1012424
Heterogeneous Structural Disturbance of Cell Membrane by Peptides with Modulated Hydrophobic Properties,2022,10.3390/pharmaceutics14112471
The Immune Protein Calprotectin Impacts Clostridioides difficile Metabolism through Zinc Limitation,2019,10.1128/mBio.02289-19
Computational modelling in health and disease: highlights of the 6th annual SysMod meeting,2022,10.1093/bioinformatics/btac609
Leishmanicidal Potential of Hardwickiic Acid Isolated FromCroton sylvaticus,2020,10.3389/fphar.2020.00753
"Polyploidy-associated paramutation in Arabidopsis is determined by small RNAs, temperature, and allele structure",2021,10.1371/journal.pgen.1009444
Known Evolutionary Paths Are Accessible to Engineered ss-Lactamases Having Altered Protein Motions at the Timescale of Catalytic Turnover,2020,10.3389/fmolb.2020.599298
Butyrate Protects against Clostridium difficile Infection by Regulating Bile Acid Metabolism,2023,10.1128/spectrum.04479-22
Environmental heterogeneity can tip the population genetics of range expansions,2019,10.7554/eLife.44359
Substrate Specificity of OXA-48 after β5-β6 Loop Replacement,2020,10.1021/acsinfecdis.9b00452
Membrane charge and lipid packing determine polymyxin-induced membrane damage,2019,10.1038/s42003-019-0297-6
Observation of substrate diffusion and ligand binding in enzyme crystals using high-repetition-rate mix-and-inject serial crystallography,2021,10.1107/S2052252521008125
Independent effects on cellular and humoral immune responses underlie genotype-by-genotype interactions between Drosophila and parasitoids,2019,10.1371/journal.ppat.1008084
Structural dynamics influences the antibacterial activity of a cell-penetrating peptide (KFF)3K,2023,10.1038/s41598-023-38745-y
The Combined Effect of Cold and Copper Stresses on the Proliferation and Transcriptional Response of Listeria monocytogenes,2019,10.3389/fmicb.2019.00612
Reversions mask the contribution of adaptive evolution in microbiomes,2024,10.7554/eLife.93146
Exploration of the effects of sequence variations between HIV-1 and HIV-2 proteases on their three-dimensional structures,2020,10.1080/07391102.2019.1704877
Multiple phase transitions shape biodiversity of a migrating population,2023,10.1103/PhysRevE.107.034405
Migration of surface-associated microbial communities in spaceflight habitats,2023,10.1016/j.bioflm.2023.100109
Structure-Based Analysis of Cryptic-Site Opening,2020,10.1016/j.str.2019.11.007
Radical Stabilization Energies for Enzyme Engineering: Tackling the Substrate Scope of the Radical Enzyme QueE,2019,10.1021/acs.jcim.9b00017
"COVID19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms",2021,10.15252/msb.202110387
The potential of genomics for infectious disease forecasting,2022,10.1038/s41564-022-01233-6
Microencapsulation of Citrus aurantifolia essential oil with the optimized CaCl2 crosslinker and its antibacterial study for cosmetic textiles,2022,10.1039/d2ra04053k
Self-Adaptation of Pseudomonas fluorescens Biofilms to Hydrodynamic Stress,2021,10.3389/fmicb.2020.588884
Multi-scale topology and position feature learning and relationship-aware graph reasoning for prediction of drug-related microbes,2024,10.1093/bioinformatics/btae025
Reaction hijacking inhibition of Plasmodium falciparum asparagine tRNA synthetase,2024,10.1038/s41467-024-45224-z
Persistence Infection of TGEV Promotes Enterococcus faecalis Infection on IPEC-J2 Cells,2023,10.3390/ijms24010450
Translating Nanomedicine to Comparative Oncology-the Case for Combining Zinc Oxide Nanomaterials with Nucleic Acid Therapeutic and Protein Delivery for Treating Metastatic Cancer,2019,10.1124/jpet.118.256230
Nonlinear frequency-dependent selection promotes long-term coexistence between bacteria species,2019,10.1111/ele.13276
RNA nucleotide methylation: 2021 update,2022,10.1002/wrna.1691
Evolution in alternating environments with tunable interlandscape correlations,2021,10.1111/evo.14121
Synergistic influence on microbial communities ascribed to copper and tetracycline during aerobic composting: Insights into bacterial and fungal structures,2022,10.3389/fevo.2022.1019494
AI-aided geometric design of anti-infection catheters,2024,10.1126/sciadv.adj1741
Correlative ex situ and Liquid-Cell TEM Observation of Bacterial Cell Membrane Damage Induced by Rough Surface Topology,2020,10.2147/IJN.S232230
In silico structural elucidation of RNA-dependent RNA polymerase towards the identification of potential Crimean-Congo Hemorrhagic Fever Virus inhibitors,2019,10.1038/s41598-019-43129-2
Nanostructured porous graphene for efficient removal of emerging contaminants (pharmaceuticals) from water,2020,10.1016/j.cej.2020.125440
Epistasis and Adaptation on Fitness Landscapes,2022,10.1146/annurev-ecolsys-102320-112153
Diversity of symptom phenotypes in SARS-CoV-2 community infections observed in multiple large datasets,2023,10.1038/s41598-023-47488-9
"Global and Historical Distribution of Clostridioides difficile in the Human Diet (1981-2019): Systematic Review and Meta-Analysis of 21886 Samples Reveal Sources of Heterogeneity, High-Risk Foods, and Unexpected Higher Prevalence Toward the Tropic",2020,10.3389/fmed.2020.00009
Mapping the human genetic architecture of COVID-19,2021,10.1038/s41586-021-03767-x
Emerging investigator series: towards a framework for establishing the impacts of pharmaceuticals in wastewater irrigation systems on agro-ecosystems and human health,2019,10.1039/c9em00020h
Modelling Plasmid-Mediated Horizontal Gene Transfer in Biofilms,2024,10.1007/s11538-024-01289-x
Combining mutation and horizontal gene transfer in a within-host model of antibiotic resistance,2021,10.1016/j.mbs.2021.108656
Growth-Dependent Predation and Generalized Transduction of Antimicrobial Resistance by Bacteriophage,2022,10.1128/msystems.00135-22
Conjugation dynamics depend on both the plasmid acquisition cost and the fitness cost,2021,10.15252/msb.20209913
Effect of donor-recipient relatedness on the plasmid conjugation frequency: a meta-analysis,2020,10.1186/s12866-020-01825-4
The ecology of plasmid-coded antibiotic resistance: a basic framework for experimental research and modeling,2021,10.1016/j.csbj.2020.12.027
The Conjugation Window in an Escherichia coli K-12 Strain with an IncFII Plasmid,2020,10.1128/AEM.00948-20
Antimicrobial resistance level and conjugation permissiveness shape plasmid distribution in clinical enterobacteria,2023,10.1073/pnas.2314135120
Conjugative plasmid transfer is limited by prophages but can be overcome by high conjugation rates,2022,10.1098/rstb.2020.0470
Mobile Compensatory Mutations Promote Plasmid Survival,2019,10.1128/mSystems.00186-18
Flagellar interference with plasmid uptake in biofilms: a joint experimental and modeling study,2024,10.1128/aem.01510-23
A generalised model for generalised transduction: the importance of co-evolution and stochasticity in phage mediated antimicrobial resistance transfer,2020,10.1093/femsec/fiaa100
Current examining methods and mathematical models of horizontal transfer of antibiotic resistance genes in the environment,2024,10.3389/fmicb.2024.1371388
Mathematical modelling to study the horizontal transfer of antimicrobial resistance genes in bacteria: current state of the field and recommendations,2019,10.1098/rsif.2019.0260
Second compartment widens plasmid invasion conditions: Two-compartment pair-formation model of conjugation in the gut,2022,10.1016/j.jtbi.2021.110937
Modeling bacterial resistance to antibiotics: bacterial conjugation and drug effects,2021,10.1186/s13662-021-03423-8
Horizontal gene transfer potentiates adaptation by reducing selective constraints on the spread of genetic variation,2020,10.1073/pnas.2005331117
Fighting Pathogenic Bacteria on Two Fronts: Phages and Antibiotics as Combined Strategy,2019,10.3389/fcimb.2019.00022
Conjugation Dynamics of Self-Transmissible and Mobilisable Plasmids into E. coli O157:H7 on Arabidopsis thaliana Rosettes,2021,10.3390/antibiotics10080928
Machine Learning Suggests That Small Size Helps Broaden Plasmid Host Range,2023,10.3390/genes14112044
Dissecting horizontal and vertical gene transfer of antibiotic resistance plasmid in bacterial community using microfluidics,2019,10.1016/j.envint.2019.105007
Simulating the Influence of Conjugative-Plasmid Kinetic Values on the Multilevel Dynamics of Antimicrobial Resistance in a Membrane Computing Model,2020,10.1128/AAC.00593-20
Recombination resolves the cost of horizontal gene transfer in experimental populations of Helicobacter pylori,2022,10.1073/pnas.2119010119
Phage-antibiotic combinations against multidrug-resistant Pseudomonas aeruginosa in in vitro static and dynamic biofilm models,2023,10.1128/aac.00578-23
Mathematical Models of Plasmid Population Dynamics,2021,10.3389/fmicb.2021.606396
Bacterial Transformation Buffers Environmental Fluctuations through the Reversible Integration of Mobile Genetic Elements,2020,10.1128/mBio.02443-19
Chicken gut microbiome members limit the spread of an antimicrobial resistance plasmid in Escherichia coli,2021,10.1098/rspb.2021.2027
Targeting antibiotic resistant bacteria with phage reduces bacterial density in an insect host,2019,10.1098/rsbl.2018.0895
A mathematical model of plasmid-carried antibiotic resistance transmission in two types of cells,2022,10.2478/amns.2021.2.00178
Aminoglycoside Antibiotics Inhibit Phage Infection by Blocking an Early Step of the Infection Cycle,2022,10.1128/mbio.00783-22
The gossip paradox: Why do bacteria share genes?,2022,10.3934/mbe.2022257
Multiwalled Carbon Nanotubes Promote Bacterial Conjugative Plasmid Transfer,2022,10.1128/spectrum.00410-22
Simultaneous estimation of parameters governing the vertical and horizontal transfer of antibiotic resistance genes,2021,10.1016/j.scitotenv.2021.149174
Population dynamics model and analysis for bacteria transformation and conjugation,2020,10.1088/2399-6528/abb8be
Antimicrobial Resistance Gene Transfer from Campylobacter jejuni in Mono- and Dual-Species Biofilms,2021,10.1128/AEM.00659-21
Stochastic Gene Expression Influences the Selection of Antibiotic Resistance Mutations,2020,10.1093/molbev/msz199
Artificial sweeteners stimulate horizontal transfer of extracellular antibiotic resistance genes through natural transformation,2022,10.1038/s41396-021-01095-6
STOCHASTIC ANALYSIS OF EMERGENCE OF EVOLUTIONARY CYCLIC BEHAVIOR IN POPULATION DYNAMICS WITH TRANSFER,2021,10.1214/20-AAP1635
Evaluating the potential efficacy and limitations of a phage for joint antibiotic and phage therapy of Staphylococcus aureus infections,2021,10.1073/pnas.2008007118
Quantitative Models of Phage-Antibiotic Combination Therapy,2020,10.1128/mSystems.00756-19
Evolutionary Dynamics between Phages and Bacteria as a Possible Approach for Designing Effective Phage Therapies against Antibiotic-Resistant Bacteria,2022,10.3390/antibiotics11070915
Global epistasis in plasmid-mediated antimicrobial resistance,2024,10.1038/s44320-024-00012-1
Pathogen invasion-dependent tissue reservoirs and plasmid-encoded antibiotic degradation boost plasmid spread in the gut,2021,10.7554/eLife.69744
Stochastic bacterial population dynamics restrict the establishment of antibiotic resistance from single cells,2020,10.1073/pnas.1919672117
Computational Model To Quantify the Growth of Antibiotic-Resistant Bacteria in Wastewater,2021,10.1128/mSystems.00360-21
Temporal dynamics of antibiotic resistant genes and their association with the bacterial community in a water-sediment mesocosm under selection by 14 antibiotics,2020,10.1016/j.envint.2020.105554
"Host Resistance, Genomics and Population Dynamics in a Salmonella Enteritidis and Phage System",2019,10.3390/v11020188
Exploring the antibiotic resistance genes removal dynamics in chicken manure by composting,2024,10.1016/j.biortech.2024.131309
Hospital outbreak of carbapenem- resistant Enterobacterales associated with a bla OXA-48 plasmid carried mostly by Escherichia coli ST399,2022,10.1099/mgen.0.000675
Non-antibiotic pharmaceuticals enhance the transmission of exogenous antibiotic resistance genes through bacterial transformation,2020,10.1038/s41396-020-0679-2
Plasmid-mediated phenotypic noise leads to transient antibiotic resistance in bacteria,2024,10.1038/s41467-024-45045-0
Host-specific plasmid evolution explains the variable spread of clinical antibiotic-resistance plasmids,2023,10.1073/pnas.2212147120
Modelling the synergistic effect of bacteriophage and antibiotics on bacteria: Killers and drivers of resistance evolution,2022,10.1371/journal.pcbi.1010746
Application of Antimicrobial Peptides of the Innate Immune System in Combination With Conventional Antibiotics-A Novel Way to Combat Antibiotic Resistance?,2019,10.3389/fcimb.2019.00128
"A stochastic model of antibiotic misuse, economy, and drug resistance: relating mutant extinction probability to socioeconomic and epidemiological factors",2023,10.1080/13873954.2023.2244175
Phage-antibiotic synergy: Cell filamentation is a key driver of successful phage predation,2023,10.1371/journal.ppat.1011602
Protein Dynamics in F-like Bacterial Conjugation,2020,10.3390/biomedicines8090362
Comparative Assessment of Bacteriophage and Antibiotic Activity against Multidrug-Resistant Staphylococcus aureus Biofilms,2022,10.3390/ijms23031274
VERA: agent-based modeling transmission of antibiotic resistance between human pathogens and gut microbiota,2019,10.1093/bioinformatics/btz154
The evolution of infectious transmission promotes the persistence of mcr-1 plasmids,2023,10.1128/mbio.00442-23
Quantitative Microbial Risk Assessment of Antimicrobial Resistant and Susceptible Staphylococcus aureus in Reclaimed Wastewaters,2021,10.1021/acs.est.1c04038
Antimicrobial sensing coupled with cell membrane remodeling mediates antibiotic resistance and virulence in Enterococcus faecalis,2019,10.1073/pnas.1916037116
Phage and Antibiotic Combinations Reduce Staphylococcus aureus in Static and Dynamic Biofilms Grown on an Implant Material,2023,10.3390/v15020460
"Assessing the relative importance of bacterial resistance, persistence and hyper-mutation for antibiotic treatment failure",2022,10.1098/rspb.2022.1300
Phage-induced efflux down-regulation boosts antibiotic efficacy,2024,10.1371/journal.ppat.1012361
Assessing the role of bacterial plasmid replication in a competition model of sensitive and resistant bacteria to antibiotics,2021,10.3934/math.2021549
Filamentous Bacteriophages and the Competitive Interaction between Pseudomonas aeruginosa Strains under Antibiotic Treatment: a Modeling Study,2021,10.1128/mSystems.00193-21
Phage-host-immune system dynamics in bacteriophage therapy: basic principles and mathematical models,2023,10.12793/tcp.2023.31.e17
Optimization of periodic treatment strategies for bacterial biofilms using an agent-based in silico approach,2024,10.1098/rsif.2024.0078
Deterministic and stochastic in-host tuberculosis models for bacterium-directed and host-directed therapy combination,2022,10.1093/imammb/dqac001
A mathematician's guide to plasmids: an introduction to plasmid biology for modellers,2023,10.1099/mic.0.001362
Ratiometric quorum sensing governs the trade-off between bacterial vertical and horizontal antibiotic resistance propagation,2020,10.1371/journal.pbio.3000814
CAUTI's next top model - Model dependent Klebsiella biofilm inhibition by bacteriophages and antimicrobials,2020,10.1016/j.bioflm.2020.100038
Modified Antibiotic Adjuvant Ratios Can Slow and Steer the Evolution of Resistance: Co-amoxiclav as a Case Study,2019,10.1128/mBio.01831-19
Complete Assembly of Escherichia coli Sequence Type 131 Genomes Using Long Reads Demonstrates Antibiotic Resistance Gene Variation within Diverse Plasmid and Chromosomal Contexts,2019,10.1128/mSphere.00130-19
"Plasmids Increase the Competitive Ability of Plasmid-Bearing Cells Even When Transconjugants Are Poor Donors, as Shown by Computer Simulations",2023,10.3390/microorganisms11051238
Evaluation of a new antiresistic strategy to manage antibiotic resistance,2023,10.1016/j.jgar.2023.03.006
Lying in Wait: Modeling the Control of Bacterial Infections via Antibiotic-Induced Proviruses,2019,10.1128/mSystems.00221-19
Environmental structure drives resistance to phages and antibiotics during phage therapy and to invading lysogens during colonisation,2019,10.1038/s41598-019-39773-3
Antimicrobial peptide-conjugated phage-mimicking nanoparticles exhibit potent bactericidal action against Streptococcus pyogenes in murine wound infection models,2024,10.1039/d3na00620d
Bistable Bacterial Growth Dynamics in the Presence of Antimicrobial Agents,2021,10.3390/antibiotics10010087
The impact of treatment strategies on the epidemiological dynamics of plasmid-conferred antibiotic resistance,2024,10.1073/pnas.2406818121
Competition between Escherichia coli Populations with and without Plasmids Carrying a Gene Encoding Extended-Spectrum Beta-Lactamase in the Broiler Chicken Gut,2019,10.1128/AEM.00892-19
Manipulation of natural transformation by AbaR-type islands promotes fixation of antibiotic resistance in Acinetobacter baumannii,2024,10.1073/pnas.2409843121
Factors associated with plasmid antibiotic resistance gene carriage revealed using large-scale multivariable analysis,2023,10.1038/s41598-023-29530-y
Antibiotic resistant bacteria: current situation and treatment options to accelerate the development of a new antimicrobial arsenal,2022,10.1080/14787210.2022.2078308
Bacteriophages benefit from generalized transduction,2019,10.1371/journal.ppat.1007888
Microplastic-Mediated Transfer of Tetracycline Resistance: Unveiling the Role of Mussels in Marine Ecosystems,2024,10.3390/antibiotics13080727
"Epistasis between antibiotic tolerance, persistence, and resistance mutations",2019,10.1073/pnas.1906169116
Pharmacological limitations of phage therapy,2019,10.1080/03009734.2019.1688433
Biofilm Structure Promotes Coexistence of Phage-Resistant and Phage-Susceptible Bacteria,2020,10.1128/mSystems.00877-19
A mechanism-based pathway toward administering highly active N-phage cocktails,2023,10.3389/fmicb.2023.1292618
A Model to Investigate the Impact of Farm Practice on Antimicrobial Resistance in UK Dairy Farms,2021,10.1007/s11538-021-00865-9
Deep Transfer Learning Enables Robust Prediction of Antimicrobial Resistance for Novel Antibiotics,2022,10.3390/antibiotics11111611
Mathematical modelling of antibiotic interaction on evolution of antibiotic resistance: an analytical approach,2024,10.7717/peerj.16917
Variability of plasmid fitness effects contributes to plasmid persistence in bacterial communities,2021,10.1038/s41467-021-22849-y
Aggregated Amphiphilic Antimicrobial Peptides Embedded in Bacterial Membranes,2020,10.1021/acsami.0c09931
Exposure to One Antibiotic Leads to Acquisition of Resistance to Another Antibiotic via Quorum Sensing Mechanisms,2021,10.3389/fmicb.2020.580466
"Characterization of a selective, iron-chelating antifungal compound that disrupts fungal metabolism and synergizes with fluconazole",2024,10.1128/spectrum.02594-23
Molecular Dynamics for Antimicrobial Peptide Discovery,2021,10.1128/IAI.00703-20
"Diversity, Dynamics and Therapeutic Application of Clostridioides difficile Bacteriophages",2022,10.3390/v14122772
Rational Discovery of Antimicrobial Peptides by Means of Artificial Intelligence,2022,10.3390/membranes12070708
A Microfluidic Chip for Studies of the Dynamics of Antibiotic Resistance Selection in Bacterial Biofilms,2022,10.3389/fcimb.2022.896149
A Review on Occurrence and Spread of Antibiotic Resistance in Wastewaters and in Wastewater Treatment Plants: Mechanisms and Perspectives,2021,10.3389/fmicb.2021.717809
Evaluation of Host Defense Peptide (CaD23)-Antibiotic Interaction and Mechanism of Action: Insights From Experimental and Molecular Dynamics Simulations Studies,2021,10.3389/fphar.2021.731499
Long-Term Interactions of Salmonella Enteritidis With a Lytic Phage for 21 Days in High Nutrients Media,2022,10.3389/fcimb.2022.897171
Effective antibiotic dosing in the presence of resistant strains,2022,10.1371/journal.pone.0275762
"Integrated Analysis of Patient Networks and Plasmid Genomes to Investigate a Regional, Multispecies Outbreak of Carbapenemase-Producing Enterobacterales Carrying Both blaIMP and mcr-9 Genes",2024,10.1093/infdis/jiae019
Ciprofloxacin in combination with bacteriophage cocktails against multi-drug resistant Pseudomonas aeruginosa in ex vivo simulated endocardial vegetation models,2023,10.1128/aac.00728-23
Introduction of Plasmid to the Murine Gut via Consumption of an Escherichia coli Carrier and Examining the Impact of Bacterial Dosing and Antibiotics on Persistence,2022,10.1007/s40883-022-00248-z
Enhancing the Therapeutic Potential of Peptide Antibiotics Using Bacteriophage Mimicry Strategies,2024,10.1002/advs.202411753
Bacterial cytological profiling reveals interactions between jumbo phage φKZ infection and cell wall active antibiotics in Pseudomonas aeruginosa,2023,10.1371/journal.pone.0280070
Theoretical investigation of stochastic clearance of bacteria: first-passage analysis,2019,10.1098/rsif.2018.0765
In vitro Susceptibility to β-Lactam Antibiotics and Viability of Neisseria gonorrhoeae Strains Producing Plasmid-Mediated Broad- and Extended-Spectrum β-Lactamases,2022,10.3389/fmicb.2022.896607
A chromosomal mutation is superior to a plasmid-encoded mutation for plasmid fitness cost compensation,2024,10.1371/journal.pbio.3002926
Reaction Kinetic Models of Antibiotic Heteroresistance,2019,10.3390/ijms20163965
