Title,Year,DOI
Sofosbuvir Selects for Drug-Resistant Amino Acid Variants in the Zika Virus RNA-Dependent RNA-Polymerase Complex In Vitro,2021,10.3390/ijms22052670
Translational dynamics of alcohol tolerance of preclinical models and human laboratory studies,2020,10.1037/pha0000366
"Assessing the relative importance of bacterial resistance, persistence and hyper-mutation for antibiotic treatment failure",2022,10.1098/rspb.2022.1300
Second compartment widens plasmid invasion conditions: Two-compartment pair-formation model of conjugation in the gut,2022,10.1016/j.jtbi.2021.110937
Resist or perish: Fate of a microbial population subjected to a periodic presence of antimicrobial,2020,10.1371/journal.pcbi.1007798
Urinary Plasmids Reduce Permissivity to Coliphage Infection,2023,10.1128/spectrum.01309-23
Advanced Methods for Studying Structure and Interactions of Macrolide Antibiotics,2020,10.3390/ijms21207799
Structures of the wild-type MexAB-OprM tripartite pump reveal its complex formation and drug efflux mechanism,2019,10.1038/s41467-019-09463-9
Recent progress of bacterial FtsZ inhibitors with a focus on peptides,2021,10.1111/febs.15489
Elucidating the Substrate Envelope of Enterovirus 68-3C Protease: Structural Basis of Specificity and Potential Resistance,2024,10.3390/v16091419
Current examining methods and mathematical models of horizontal transfer of antibiotic resistance genes in the environment,2024,10.3389/fmicb.2024.1371388
Multiwalled Carbon Nanotubes Promote Bacterial Conjugative Plasmid Transfer,2022,10.1128/spectrum.00410-22
Structure- and Ligand-Dynamics-Based Design of Novel Antibiotics Targeting Lipid A Enzymes LpxC and LpxH in Gram-Negative Bacteria,2021,10.1021/acs.accounts.0c00880
Pathogen invasion-dependent tissue reservoirs and plasmid-encoded antibiotic degradation boost plasmid spread in the gut,2021,10.7554/eLife.69744
The gossip paradox: Why do bacteria share genes?,2022,10.3934/mbe.2022257
Adenosine-Mimicking Derivatives of 3-Aminopyrazine-2-Carboxamide: Towards Inhibitors of Prolyl-tRNA Synthetase with Antimycobacterial Activity,2022,10.3390/biom12111561
Coupled environmental and demographic fluctuations shape the evolution of cooperative antimicrobial resistance,2023,10.1098/rsif.2023.0393
Global evolutionary dynamics of virulence genes in ST11-KL47 carbapenem-resistant Klebsiella pneumoniae,2024,10.1016/j.ijantimicag.2024.107245
Minimal Surviving Inoculum in Collective Antibiotic Resistance,2023,10.1128/mbio.02456-22
Dissecting horizontal and vertical gene transfer of antibiotic resistance plasmid in bacterial community using microfluidics,2019,10.1016/j.envint.2019.105007
Stochastic Gene Expression Influences the Selection of Antibiotic Resistance Mutations,2020,10.1093/molbev/msz199
Phosphorylation on PstP Regulates Cell Wall Metabolism and Antibiotic Tolerance in Mycobacterium smegmatis,2021,10.1128/JB.00563-20
Combined effect of SAR-endolysin LysKpV475 with polymyxin B and Salmonella bacteriophage phSE-5,2024,10.1099/mic.0.001462
Parametric population pharmacokinetics of linezolid: A systematic review,2022,10.1111/bcp.15368
Horizontal gene transfer potentiates adaptation by reducing selective constraints on the spread of genetic variation,2020,10.1073/pnas.2005331117
Salmonella persisters promote the spread of antibiotic resistance plasmids in the gut,2019,10.1038/s41586-019-1521-8
Conformational restriction shapes the inhibition of a multidrug efflux adaptor protein,2023,10.1038/s41467-023-39615-x
Host-specific plasmid evolution explains the variable spread of clinical antibiotic-resistance plasmids,2023,10.1073/pnas.2212147120
Synergistic effects of inhaled aztreonam plus tobramycin on hypermutable cystic fibrosis Pseudomonas aeruginosa isolates in a dynamic biofilm model evaluated by mechanism-based modelling and whole genome sequencing,2024,10.1016/j.ijantimicag.2024.107161
Nonnutritive sweeteners can promote the dissemination of antibiotic resistance through conjugative gene transfer,2021,10.1038/s41396-021-00909-x
Studying the surfaces of bacteria using neutron scattering: finding new openings for antibiotics,2020,10.1042/BST20200320
Roles of Virtual Screening and Molecular Dynamics Simulations in Discovering and Understanding Antimalarial Drugs,2023,10.3390/ijms24119289
Therapeutic evaluation of the Acinetobacter baumannii phage Phab24 for clinical use,2022,10.1016/j.virusres.2022.198889
Modeling of intravenous caspofungin administration using an intestine-on-chip reveals altered Candida albicans microcolonies and pathogenicity,2024,10.1016/j.biomaterials.2024.122525
Plasmid-mediated phenotypic noise leads to transient antibiotic resistance in bacteria,2024,10.1038/s41467-024-45045-0
Growth-mediated negative feedback shapes quantitative antibiotic response,2022,10.15252/msb.202110490
"Design, antimicrobial activity and mechanism of action of Arg-rich ultra-short cationic lipopeptides",2019,10.1371/journal.pone.0212447
Insights into the Mechanism of Action of the Degraded Limonoid Prieurianin,2024,10.3390/ijms25073597
Nanozyme-Based Robotics Approach for Targeting Fungal Infection,2024,10.1002/adma.202300320
Multilayer networks of plasmid genetic similarity reveal potential pathways of gene transmission,2023,10.1038/s41396-023-01373-5
Fast bacterial growth reduces antibiotic accumulation and efficacy,2022,10.7554/eLife.74062
Melanoma in people living with HIV: Immune landscape dynamics and the role of immuno- and antiviral therapies,2024,10.1007/s10555-024-10230-6
CAUTI's next top model - Model dependent Klebsiella biofilm inhibition by bacteriophages and antimicrobials,2020,10.1016/j.bioflm.2020.100038
Repeated outbreaks drive the evolution of bacteriophage communication,2021,10.7554/eLife.58410
The dynamic evolution and IS26-mediated interspecies transfer of a bla(NDM-1)-bearing fusion plasmid leading to a hypervirulent carbapenem-resistant Klebsiella pneumoniae strain harbouring bla(KPC-2) in a single patient,2023,10.1016/j.jgar.2023.08.021
Community interactions drive the evolution of antibiotic tolerance in bacteria,2023,10.1073/pnas.2209043119
Design principles of collateral sensitivity-based dosing strategies,2021,10.1038/s41467-021-25927-3
Non-antibiotic pharmaceuticals enhance the transmission of exogenous antibiotic resistance genes through bacterial transformation,2020,10.1038/s41396-020-0679-2
A novel inhibitor of monooxygenase reversed the activity of tetracyclines against tet(X3)/tet(X4)-positive bacteria,2022,10.1016/j.ebiom.2022.103943
Amyloidogenic Peptides: New Class of Antimicrobial Peptides with the Novel Mechanism of Activity,2022,10.3390/ijms23105463
A Brief Overview of Ethanol Tolerance and Its Potential Association with Circadian Rhythm in Drosophila,2024,10.3390/ijms252312605
The evolution of infectious transmission promotes the persistence of mcr-1 plasmids,2023,10.1128/mbio.00442-23
Antibiotic dose and nutrient availability differentially drive the evolution of antibiotic resistance and persistence,2024,10.1093/ismejo/wrae070
Phenotypic-dependent variability and the emergence of tolerance in bacterial populations,2021,10.1371/journal.pcbi.1009417
Comparative Assessment of Bacteriophage and Antibiotic Activity against Multidrug-Resistant Staphylococcus aureus Biofilms,2022,10.3390/ijms23031274
Spatial Characteristics of the Efflux Pump MexB Determine Inhibitor Binding,2022,10.1128/aac.00672-22
Variability in cell division among anatomical sites shapes Escherichia coli antibiotic survival in a urinary tract infection mouse model,2024,10.1016/j.chom.2024.04.015
Modeling the transmission of antibiotic-resistant Enterobacterales in the community: A systematic review,2024,10.1016/j.epidem.2024.100783
Mobile Compensatory Mutations Promote Plasmid Survival,2019,10.1128/mSystems.00186-18
Evolution and transmission of a conjugative plasmid encoding both ciprofloxacin and ceftriaxone resistance in Salmonella,2019,10.1080/22221751.2019.1585965
Tissue compartmentalization enables Salmonella persistence during chemotherapy,2021,10.1073/pnas.2113951118
Global dispersal and potential sources of antibiotic resistance genes in atmospheric remote depositions,2022,10.1016/j.envint.2022.107077
Antimicrobial Resistance in Clinical Ureaplasma spp. and Mycoplasma hominis and Structural Mechanisms Underlying Quinolone Resistance,2020,10.1128/AAC.02560-19
"Population structure and antimicrobial resistance patterns of Salmonella Typhi and Paratyphi A amid a phased municipal vaccination campaign in Navi Mumbai, India",2023,10.1128/mbio.01179-23
Bacteriophage therapy reduces Staphylococcus aureus in a porcine and human ex vivo burn wound infection model,2024,10.1128/aac.00650-24
A Systems-Based Analysis of Mono- and Combination Therapy for Carbapenem-Resistant Klebsiella pneumoniae Bloodstream Infections,2022,10.1128/aac.00591-22
Allele-specific collateral and fitness effects determine the dynamics of fluoroquinolone resistance evolution,2022,10.1073/pnas.2121768119
Rapid evolution of colistin resistance in a bioreactor model of infection of Klebsiella pneumoniae,2024,10.1038/s42003-024-06378-0
"Host Resistance, Genomics and Population Dynamics in a Salmonella Enteritidis and Phage System",2019,10.3390/v11020188
Pharmacokinetic-pharmacodynamic integration and resistance of tiamulin against Mycoplasma hyopneumoniae in an in vitro dynamic model,2020,10.1016/j.micpath.2020.104255
Persistence Dynamics of Antimicrobial-Resistant Neisseria in the Pharynx of Rhesus Macaques,2020,10.1128/AAC.02232-19
A 'rich-get-richer' mechanism drives patchy dynamics and resistance evolution in antibiotic-treated bacteria,2024,10.1038/s44320-024-00046-5
An ecological and stochastic perspective on persisters resuscitation,2024,10.1016/j.csbj.2024.12.002
Quaternary ammonium biocides promote conjugative transfer of antibiotic resistance gene in structure- and species-dependent manner,2024,10.1016/j.envint.2024.108812
Antimicrobial and antibiofilm activity of human recombinant H1 histones against bacterial infections,2024,10.1128/msystems.00704-24
"B cells going viral in the CNS: Dynamics, complexities, and functions of B cells responding to viral encephalitis",2022,10.1111/imr.13124
Ratiometric quorum sensing governs the trade-off between bacterial vertical and horizontal antibiotic resistance propagation,2020,10.1371/journal.pbio.3000814
A modified fluctuation-test framework characterizes the population dynamics and mutation rate of colorectal cancer persister cells,2022,10.1038/s41588-022-01105-z
Arms race and fluctuating selection dynamics in Pseudomonas aeruginosa bacteria coevolving with phage OMKO1,2022,10.1111/jeb.14095
The Role of Integration Host Factor in Escherichia coli Persister Formation,2022,10.1128/mbio.03420-21
Dual Impact of a Benzimidazole Resistant β-Tubulin on Microtubule Behavior in Fission Yeast,2021,10.3390/cells10051042
Reaction Kinetic Models of Antibiotic Heteroresistance,2019,10.3390/ijms20163965
Circular and L50-like leaderless enterocins share a common ABC-transporter immunity gene,2023,10.1186/s12864-023-09750-2
The pharmacokinetic-pharmacodynamic modelling framework as a tool to predict drug resistance evolution,2023,10.1099/mic.0.001368
Microcin MccI47 selectively inhibits enteric bacteria and reduces carbapenem-resistant Klebsiella pneumoniae colonization in vivo when administered via an engineered live biotherapeutic,2022,10.1080/19490976.2022.2127633
PlasBin-flow: a flow-based MILP algorithm for plasmid contigs binning,2023,10.1093/bioinformatics/btad250
Swarming bacteria undergo localized dynamic phase transition to form stress-induced biofilms,2021,10.7554/eLife.62632
Quantitative Microbial Risk Assessment of Antimicrobial Resistant and Susceptible Staphylococcus aureus in Reclaimed Wastewaters,2021,10.1021/acs.est.1c04038
Role of Arginine 214 in the Substrate Specificity of OXA-48,2020,10.1128/AAC.02329-19
Nemonoxacin Enhances Antibacterial Activity and Anti-Resistance Mutation Ability of Vancomycin against Methicillin-Resistant Staphylococcus aureus in an In Vitro Dynamic Pharmacokinetic/Pharmacodynamic Model,2022,10.1128/AAC.01800-21
Multidrug Resistance in Mammals and Fungi-From MDR to PDR: A Rocky Road from Atomic Structures to Transport Mechanisms,2021,10.3390/ijms22094806
MtrA modulates Mycobacterium tuberculosis cell division in host microenvironments to mediate intrinsic resistance and drug tolerance,2023,10.1016/j.celrep.2023.112875
Evaluation of a new antiresistic strategy to manage antibiotic resistance,2023,10.1016/j.jgar.2023.03.006
Investigating the survival and activity of a bacteriophage in the complex colon environment with the use of a dynamic model of the colon (TIM-2),2023,10.1016/j.micpath.2023.106061
Antimicrobial peptide selection from Lippia spp leaf transcriptomes,2020,10.1016/j.peptides.2020.170317
Development of antibacterial compounds that constrain evolutionary pathways to resistance,2021,10.7554/eLife.64518
Functional mgrA Influences Genetic Changes within a Staphylococcus aureus Cell Population over Time,2022,10.1128/jb.00138-22
Conjugation Dynamics of Self-Transmissible and Mobilisable Plasmids into E. coli O157:H7 on Arabidopsis thaliana Rosettes,2021,10.3390/antibiotics10080928
Molecular reprogramming and phenotype switching in Staphylococcus aureus lead to high antibiotic persistence and affect therapy success,2021,10.1073/pnas.2014920118
"Membrane fluidity, composition, and charge affect the activity and selectivity of the AMP ascaphin-8",2022,10.1016/j.bpj.2022.07.018
Machine Learning Suggests That Small Size Helps Broaden Plasmid Host Range,2023,10.3390/genes14112044
Molecular insights into the evolutionary trajectory of a Klebsiella aerogenes clinical isolate with a complex trade-off between resistance and virulence,2024,10.1128/aac.01036-24
A model of hepatitis B virus with random interference infection rate,2021,10.3934/mbe.2021410
Modulation of free energy landscapes as a strategy for the design of antimicrobial peptides,2022,10.1007/s10867-022-09605-z
Adaptive Resistance Mutations at Suprainhibitory Concentrations Independent of SOS Mutagenesis,2021,10.1093/molbev/msab196
The Association between Insertion Sequences and Antibiotic Resistance Genes,2020,10.1128/mSphere.00418-20
Whole-genome sequencing confirms a persistent candidaemia clonal outbreak due to multidrug-resistant Candida parapsilosis,2023,10.1093/jac/dkad112
"Fever integrates antimicrobial defences, inflammation control, and tissue repair in a cold-blooded vertebrate",2023,10.7554/eLife.83644
Glacier-Fed Stream Biofilms Harbor Diverse Resistomes and Biosynthetic Gene Clusters,2023,10.1128/spectrum.04069-22
Adaptation to host cell environment during experimental evolution of Zika virus,2022,10.1038/s42003-022-03902-y
Bifurcation analysis of a tuberculosis progression model for drug target identification,2023,10.1038/s41598-023-44569-7
Metapopulation model of phage therapy of an acute Pseudomonas aeruginosa lung infection,2024,10.1128/msystems.00171-24
Simulated Intravenous versus Inhaled Tobramycin with or without Intravenous Ceftazidime Evaluated against Hypermutable Pseudomonas aeruginosa via a Dynamic Biofilm Model and Mechanism-Based Modeling,2022,10.1128/aac.02203-21
Bacteria can compensate the fitness costs of amplified resistance genes via a bypass mechanism,2024,10.1038/s41467-024-46571-7
Pf bacteriophages hinder sputum antibiotic diffusion via electrostatic binding,2024,10.1126/sciadv.adl5576
Clonal and plasmid-mediated flow of ESBL/AmpC genes in Escherichia coli in a commercial laying hen farm,2022,10.1016/j.vetmic.2022.109453
Co-localization of antibiotic resistance genes is widespread in the infant gut microbiome and associates with an immature gut microbial composition,2024,10.1186/s40168-024-01800-5
A robust computational quest: Discovering potential hits to improve the treatment of pyrazinamide-resistant Mycobacterium tuberculosis,2024,10.1111/jcmm.18279
Effective antibiotic dosing in the presence of resistant strains,2022,10.1371/journal.pone.0275762
Polymyxins induce lipid scrambling and disrupt the homeostasis of Gram-negative bacteria membrane,2022,10.1016/j.bpj.2022.08.007
Relevance of the bacteriophage adherence to mucus model for Pseudomonas aeruginosa phages,2024,10.1128/spectrum.03520-23
Large-scale ratcheting in a bacterial DEAH/RHA-type RNA helicase that modulates antibiotics susceptibility,2021,10.1073/pnas.2100370118
Drug-induced resistance evolution necessitates less aggressive treatment,2021,10.1371/journal.pcbi.1009418
Phage-Mediated Digestive Decolonization in a Gut-On-A-Chip Model: A Tale of Gut-Specific Bacterial Prosperity,2024,10.3390/v16071047
Lipid biosynthesis perturbation impairs endoplasmic reticulum-associated degradation,2023,10.1016/j.jbc.2023.104939
Combination of in vivo phage therapy data with in silico model highlights key parameters for pneumonia treatment efficacy,2022,10.1016/j.celrep.2022.110825
Exploring the antimicrobial potential of crude peptide extracts from Allium sativum and Allium oschaninii against antibiotic-resistant bacterial strains,2024,10.1080/13880209.2024.2395517
A Novel Cryptic Clostridial Peptide That Kills Bacteria by a Cell Membrane Permeabilization Mechanism,2022,10.1128/spectrum.01657-22
Structure-activity relationship studies for inhibitors for vancomycin-resistant Enterococcus and human carbonic anhydrases,2022,10.1080/14756366.2022.2092729
Evaluating the potential efficacy and limitations of a phage for joint antibiotic and phage therapy of Staphylococcus aureus infections,2021,10.1073/pnas.2008007118
Market forces determine the distribution of a leaky function in a simple microbial community,2021,10.1073/pnas.2109813118
Viral plasticity facilitates host diversity in challenging environments,2024,10.1038/s41467-024-51344-3
Crystal structure and functional analysis of mycobacterial erythromycin resistance methyltransferase Erm38 reveals its RNA-binding site,2022,10.1016/j.jbc.2022.101571
Enhancing the effectiveness of Polymyxin E with a Fisetin Nanoemulsion against a Colistin-resistant Salmonella typhimurium infection,2024,10.1016/j.phymed.2024.155768
"What's the Matter with MICs: Bacterial Nutrition, Limiting Resources, and Antibiotic Pharmacodynamics",2023,10.1128/spectrum.04091-22
Combining deep learning and droplet microfluidics for rapid and label-free antimicrobial susceptibility testing of colistin,2024,10.1016/j.bios.2024.116301
"Risk Factors, Temporal Dependence, and Seasonality of Human Extended-Spectrum β-Lactamases-Producing Escherichia coli and Klebsiella pneumoniae Colonization in Malawi: A Longitudinal Model-Based Approach",2023,10.1093/cid/ciad117
"Spatiotemporal spread of Plasmodium falciparum mutations for resistance to sulfadoxine-pyrimethamine across Africa, 1990-2020",2022,10.1371/journal.pcbi.1010317
Effect of donor-recipient relatedness on the plasmid conjugation frequency: a meta-analysis,2020,10.1186/s12866-020-01825-4
Evolutionary Rescue and Drug Resistance on Multicopy Plasmids,2020,10.1534/genetics.119.303012
Antibiofilm and antivirulence potential of silver nanoparticles against multidrug-resistant Acinetobacter baumannii,2021,10.1038/s41598-021-90208-4
Me-Better Drug Design Based on Nevirapine and Mechanism of Molecular Interactions with Y188C Mutant HIV-1 Reverse Transcriptase,2022,10.3390/molecules27217348
Inter-species interactions alter antibiotic efficacy in bacterial communities,2022,10.1038/s41396-021-01130-6
Contribution of Drugs Interfering with Protein and Cell Wall Synthesis to the Persistence of Pseudomonas aeruginosa Biofilms: An In Vitro Model,2021,10.3390/ijms22041628
Bacteriophage specificity is impacted by interactions between bacteria,2024,10.1128/msystems.01177-23
A Systematic Review and Meta-Analysis of the Efficacy of Antimicrobial Chemoprophylaxis for Recurrent Acute Otitis Media in Children,2025,10.1111/coa.14240
Newly identified parasitic nematode beta-tubulin alleles confer resistance to benzimidazoles,2021,10.1016/j.ijpddr.2021.09.006
Predation Strategies of the Bacterium Bdellovibrio bacteriovorus Result in Overexploitation and Bottlenecks,2022,10.1128/AEM.01082-21
Naphthyl-Substituted Indole and Pyrrole Carboxylic Acids as Effective Antibiotic Potentiators-Inhibitors of Bacterial Cystathionine γ-Lyase,2023,10.3390/ijms242216331
Antimicrobial resistance in paediatric Streptococcus pneumoniae isolates amid global implementation of pneumococcal conjugate vaccines: a systematic review and meta-regression analysis,2021,10.1016/S2666-5247(21)00064-1
Global spread characteristics of CTX-M-type extended-spectrum β-lactamases: A genomic epidemiology analysis,2024,10.1016/j.drup.2023.101036
"Mucoidy, a general mechanism for maintaining lytic phage in populations of bacteria",2020,10.1093/femsec/fiaa162
The Conjugation Window in an Escherichia coli K-12 Strain with an IncFII Plasmid,2020,10.1128/AEM.00948-20
The role of Acinetobacter baumannii CarO outer membrane protein in carbapenems influx,2022,10.1016/j.resmic.2022.103966
Antimalarial drug sulfadoxine induces gametocytogenesis in Plasmodium berghei,2024,10.1186/s12936-024-05071-1
Determinants of worldwide antibiotic resistance dynamics across drug-bacterium pairs: a multivariable spatial-temporal analysis using ATLAS,2023,10.1016/S2542-5196(23)00127-4
Drug-target binding quantitatively predicts optimal antibiotic dose levels in quinolones,2020,10.1371/journal.pcbi.1008106
Computationally designed peptide macrocycle inhibitors of New Delhi metallo-β-lactamase 1,2021,10.1073/pnas.2012800118
Structural Basis of Covalent Inhibitory Mechanism of TMPRSS2-Related Serine Proteases by Camostat,2021,10.1128/JVI.00861-21
Modelling the synergistic effect of bacteriophage and antibiotics on bacteria: Killers and drivers of resistance evolution,2022,10.1371/journal.pcbi.1010746
Evolution of Ceftriaxone Resistance of Penicillin-Binding Proteins 2 Revealed by Molecular Modeling,2022,10.3390/ijms24010176
Interaction of Staphylococcus aureus and Acinetobacter baumannii during In Vitro β-Lactam Exposure,2021,10.1128/AAC.02414-20
The population genetics of collateral resistance and sensitivity,2021,10.7554/eLife.73250
Health and economic impact of the pneumococcal conjugate vaccine in hindering antimicrobial resistance in China,2021,10.1073/pnas.2004933118
Application of Machine Learning Classifier to Candida auris Drug Resistance Analysis,2021,10.3389/fcimb.2021.742062
"Neonatal acquisition of extended-spectrum beta-lactamase-producing Enterobacteriaceae in the community of a low-income country (NeoLIC): protocol for a household cohort study in Moramanga, Madagascar",2022,10.1136/bmjopen-2022-061463
Bacterial motility can govern the dynamics of antibiotic resistance evolution,2023,10.1038/s41467-023-41196-8
A Microfluidic Chip for Studies of the Dynamics of Antibiotic Resistance Selection in Bacterial Biofilms,2022,10.3389/fcimb.2022.896149
Unveiling mutation effects on the structural dynamics of the main protease from SARS-CoV-2 with hybrid simulation methods,2023,10.1016/j.jmgm.2023.108443
Exploring factors shaping antibiotic resistance patterns in Streptococcus pneumoniae during the 2020 COVID-19 pandemic,2024,10.7554/eLife.85701
Genome-Wide Screening for Enteric Colonization Factors in Carbapenem-Resistant ST258 Klebsiella pneumoniae,2019,10.1128/mBio.02663-18
Exploring the antibiotic resistance genes removal dynamics in chicken manure by composting,2024,10.1016/j.biortech.2024.131309
Temporal dynamics of antibiotic resistant genes and their association with the bacterial community in a water-sediment mesocosm under selection by 14 antibiotics,2020,10.1016/j.envint.2020.105554
Mathematical modelling to study the horizontal transfer of antimicrobial resistance genes in bacteria: current state of the field and recommendations,2019,10.1098/rsif.2019.0260
Enhancing Flucytosine Anticandidal Activity Using PEGylated Squalene Nanocarrier,2025,10.1002/cmdc.202400432
Ciprofloxacin in combination with bacteriophage cocktails against multi-drug resistant Pseudomonas aeruginosa in ex vivo simulated endocardial vegetation models,2023,10.1128/aac.00728-23
