title,year,doi,source,article_key
Epitope-based immunoinformatics study of a novel Hla-MntC-SACOL0723 fusion protein from Staphylococcus aureus: Induction of multi-pattern immune responses,2019,10.1016/j.molimm.2019.05.016,Scopus,10.1016/j.molimm.2019.05.016
FK506 Resistance of Saccharomyces cerevisiae Pdr5 and Candida albicans Cdr1 involves mutations in the transmembrane domains and extracellular loops,2019,10.1128/AAC.01146-18,Scopus,10.1128/aac.01146-18
Fluoxetine Inhibits Enterovirus Replication by Targeting the Viral 2C Protein in a Stereospecific Manner,2019,10.1021/acsinfecdis.9b00179,Scopus,10.1021/acsinfecdis.9b00179
Fractal analysis and mathematical models for the investigation of photothermal inactivation of Candida albicans using carbon nanotubes,2019,10.1016/j.colsurfb.2019.05.002,Scopus,10.1016/j.colsurfb.2019.05.002
Genome sequencing of strains of the most prevalent clonal group of O1:K1:H7 Escherichia coli that causes neonatal meningitis in France,2019,10.1186/s12866-018-1376-4,Scopus,10.1186/s12866-018-1376-4
Green and cytocompatible carboxyl modified gold-lysozyme nanoantibacterial for combating multidrug-resistant superbugs,2019,10.1039/c9bm00935c,Scopus,10.1039/c9bm00935c
Hepatitis B virus mutation pattern rtL180M+A181C+M204V may contribute to entecavir resistance in clinical practice,2019,10.1080/22221751.2019.1584018,Scopus,10.1080/22221751.2019.1584018
High-throughput profiling of antibiotic resistance gene dynamic in a drinking water river-reservoir system,2019,10.1016/j.watres.2018.11.007,Scopus,10.1016/j.watres.2018.11.007
Host–pathogen interactions influencing mycobacterium tuberculosis persistence and drug tolerance,2019,10.1007/978-3-030-25241-0_10,Scopus,10.1007/978-3-030-25241-0_10
Identifying immunologically-vulnerable regions of the HCV E2 glycoprotein and broadly neutralizing antibodies that target them,2019,10.1038/s41467-019-09819-1,Scopus,10.1038/s41467-019-09819-1
In vitro antimicrobial combination testing of and evolution of resistance to the first-in-class spiropyrimidinetrione zoliflodacin combined with six therapeutically relevant antimicrobials for Neisseria gonorrhoeae,2019,10.1093/jac/dkz376,Scopus,10.1093/jac/dkz376
Inducible lung epithelial resistance requires multisource reactive oxygen species generation to protect against bacterial infections,2019,10.1371/journal.pone.0208216,Scopus,10.1371/journal.pone.0208216
Inferring bacterial recombination rates from large-scale sequencing datasets,2019,10.1038/s41592-018-0293-7,Scopus,10.1038/s41592-018-0293-7
Influence of the T to S mutation at the STMK motif on antibiotic resistance of penicillin binding protein 1A: A comprehensive computational study,2019,10.1016/j.jmgm.2018.12.002,Scopus,10.1016/j.jmgm.2018.12.002
Inhibition of mitochondrial translation as a therapeutic strategy for human ovarian cancer to overcome chemoresistance,2019,10.1016/j.bbrc.2018.12.127,Scopus,10.1016/j.bbrc.2018.12.127
"Interactions between bacteriophage, bacteria, and the mammalian immune system",2019,10.3390/v11010010,Scopus,10.3390/v11010010
Kinetic and molecular dynamic studies of inhibitors of shikimate dehydrogenase from methicillin-resistant Staphylococcus aureus,2019,10.1111/cbdd.13532,Scopus,10.1111/cbdd.13532
Location of the Positive Charges in Cationic Amphiphiles Modulates Their Mechanism of Action against Model Membranes,2019,10.1021/acs.langmuir.9b02606,Scopus,10.1021/acs.langmuir.9b02606
Mechanisms and clinical relevance of bacterial heteroresistance,2019,10.1038/s41579-019-0218-1,Scopus,10.1038/s41579-019-0218-1
"Metallic nanoparticles induced antibiotic resistance genes attenuation of leachate culturable microbiota: The combined roles of growth inhibition, ion dissolution and oxidative stress",2019,10.1016/j.envint.2019.05.007,Scopus,10.1016/j.envint.2019.05.007
Minimal exposure of lipid II cycle intermediates triggers cell wall antibiotic resistance,2019,10.1038/s41467-019-10673-4,Scopus,10.1038/s41467-019-10673-4
Molecular Architecture and Charging Effects Enhance the In Vitro and In Vivo Performance of Multi-Arm Antimicrobial Agents Based on Star-Shaped Poly(l-lysine),2019,10.1002/adtp.201900147,Scopus,10.1002/adtp.201900147
Molecular Basis for Membrane Selectivity of Antimicrobial Peptide Pleurocidin in the Presence of Different Eukaryotic and Prokaryotic Model Membranes,2019,10.1021/acs.jcim.9b00245,Scopus,10.1021/acs.jcim.9b00245
Molecular evidence of sequential evolution of DDT-and pyrethroid-resistant sodium channel in Aedes aegypti,2019,10.1371/journal.pntd.0007432,Scopus,10.1371/journal.pntd.0007432
Molecular mechanism of vSGLT inhibition by gneyulin reveals antiseptic properties against multidrug-resistant gram-negative bacteria,2019,10.1007/s00894-019-4073-9,Scopus,10.1007/s00894-019-4073-9
Multi-Dimensional Screening Strategy for Drug Repurposing with Statistical Framework—A New Road to Influenza Drug discovery,2019,10.1007/s12013-019-00887-0,Scopus,10.1007/s12013-019-00887-0
Multiscale modeling of innate immune receptors: Endotoxin recognition and regulation by host defense peptides,2019,10.1016/j.phrs.2019.104372,Scopus,10.1016/j.phrs.2019.104372
Multisite phosphorylation drives phenotypic variation in (p)ppGpp synthetase-dependent antibiotic tolerance,2019,10.1038/s41467-019-13127-z,Scopus,10.1038/s41467-019-13127-z
Mutation and structure guided discovery of an antiviral small molecule that mimics an essential C-Terminal tripeptide of the vaccinia D4 processivity factor,2019,10.1016/j.antiviral.2018.12.011,Scopus,10.1016/j.antiviral.2018.12.011
N-glycosylation of the CmeABC multidrug efflux pump is needed for optimal function in Campylobacter jejuni,2019,10.1093/glycob/cwz082,Scopus,10.1093/glycob/cwz082
"Nanoparticles for the Treatment of Oral Biofilms: Current State, Mechanisms, Influencing Factors, and Prospects",2019,10.1002/adhm.201901301,Scopus,10.1002/adhm.201901301
Natural variation in the contribution of microbial density to inducible immune dynamics,2019,10.1111/mec.15293,Scopus,10.1111/mec.15293
Negative regulation of bleomycins biosynthesis by ArsR/SmtB family repressor BlmR in Streptomyces verticillus,2019,10.1007/s00253-019-09923-8,Scopus,10.1007/s00253-019-09923-8
New Synthetic Peptides Conjugated to Gold Nanoclusters: Antibiotic Activity Against Escherichia coli O157:H7 and Methicillin-Resistant Staphylococcus aureus (MRSA),2019,10.1007/s10930-019-09840-9,Scopus,10.1007/s10930-019-09840-9
Nitrogen-doped carbon quantum dots as an antimicrobial agent against Staphylococcus for the treatment of infected wounds,2019,10.1016/j.colsurfb.2019.03.042,Scopus,10.1016/j.colsurfb.2019.03.042
Novel missense mutations in gidB gene associated with streptomycin resistance in Mycobacterium tuberculosis: insights from molecular dynamics,2019,10.1080/07391102.2017.1417913,Scopus,10.1080/07391102.2017.1417913
Novel point mutations in cyp51A and cyp51B genes associated with itraconazole and posaconazole resistance in aspergillus clavatus isolates,2019,10.1089/mdr.2018.0300,Scopus,10.1089/mdr.2018.0300
On-chip phenotypic investigation of combinatory antibiotic effects by generating orthogonal concentration gradients,2019,10.1039/C8LC01406J,Scopus,10.1039/c8lc01406j
Oxidative and nitrosative stress responses during macrophage-Candida albicans biofilm interaction,2019,10.1093/mmy/myx143,Scopus,10.1093/mmy/myx143
Parameter optimization of isoquercetin extracting from mulberry leaves by hydrothermal method,2019,10.11975/j.issn.1002-6819.2019.09.037,Scopus,10.11975/j.issn.1002-6819.2019.09.037
Pharmacokinetics and Pharmacodynamics of Antiinfective Agents,2019,10.1016/B978-0-323-48255-4.00019-9,Scopus,10.1016/b978-0-323-48255-4.00019-9
Pharmacophore modeling and molecular dynamics approach to identify putative DNA Gyrase B inhibitors for resistant tuberculosis,2019,10.1002/jcb.27579,Scopus,10.1002/jcb.27579
"Physiological, structural, and functional analysis of the paralogous cation–proton antiporters of NhaP type from vibrio cholerae",2019,10.3390/ijms20102572,Scopus,10.3390/ijms20102572
Polymorphism of Type I–F CRISPR/Cas system in Escherichia coli of phylogenetic group B2 and its application in genotyping,2019,10.1016/j.meegid.2019.103916,Scopus,10.1016/j.meegid.2019.103916
Population dynamics models based on the transmission mechanism of MCR-1,2019,10.1016/j.physa.2018.09.141,Scopus,10.1016/j.physa.2018.09.141
Possible role of rivoglitazone thiazolidine class of drug as dual-target therapeutic agent for bacterial infections: An in silico study,2019,10.1016/j.mehy.2019.109305,Scopus,10.1016/j.mehy.2019.109305
Promises and pitfalls of in vivo evolution to improve phage therapy,2019,10.3390/v11121083,Scopus,10.3390/v11121083
Pyrazinamide drug resistance in RpsA mutant (∆438A) of Mycobacterium tuberculosis: Dynamics of essential motions and free-energy landscape analysis,2019,10.1002/jcb.28013,Scopus,10.1002/jcb.28013
Rapid elimination of broadly neutralizing antibodies correlates with treatment failure in the acute phase of simian-human immunodeficiency virus infection,2019,10.1128/JVI.01077-19,Scopus,10.1128/jvi.01077-19
Resistance and resilience of sulfidogenic communities in the face of the specific inhibitor perchlorate,2019,10.3389/fmicb.2019.00654,Scopus,10.3389/fmicb.2019.00654
Selection of avian influenza A (H9N2) virus with reduced susceptibility to neuraminidase inhibitors oseltamivir and zanamivir,2019,10.1016/j.virusres.2019.03.019,Scopus,10.1016/j.virusres.2019.03.019
Small molecule degraders of the hepatitis C virus protease reduce susceptibility to resistance mutations,2019,10.1038/s41467-019-11429-w,Scopus,10.1038/s41467-019-11429-w
Soft sweep development of resistance in Escherichia coli under fluoroquinolone stress,2019,10.1007/s12275-019-9177-5,Scopus,10.1007/s12275-019-9177-5
Solution structure and novel insights into phylogeny and mode of action of the Neosartorya (Aspergillus) fischeri antifungal protein (NFAP),2019,10.1016/j.ijbiomac.2019.02.016,Scopus,10.1016/j.ijbiomac.2019.02.016
Structural basis for isoniazid resistance in KatG double mutants of Mycobacterium tuberculosis,2019,10.1016/j.micpath.2019.02.003,Scopus,10.1016/j.micpath.2019.02.003
"Structural, molecular motions, and free-energy landscape of Leishmania sterol-14α-demethylase wild type and drug resistant mutant: a comparative molecular dynamics study",2019,10.1080/07391102.2018.1461135,Scopus,10.1080/07391102.2018.1461135
Structure-based molecular characterization and regulatory mechanism of the LftR transcription factor from Listeria monocytogenes: Conformational flexibilities and a ligand-induced regulatory mechanism,2019,10.1371/journal.pone.0215017,Scopus,10.1371/journal.pone.0215017
"Systems-level analysis of NalD mutation, a recurrent driver of rapid drug resistance in acute Pseudomonas aeruginosa infection",2019,10.1371/journal.pcbi.1007562,Scopus,10.1371/journal.pcbi.1007562
The biology of persister cells in escherichia coli,2019,10.1007/978-3-030-25241-0_3,Scopus,10.1007/978-3-030-25241-0_3
"The Crohn's disease-Associated Escherichia coli strain LF82 relies on SOS and stringent responses to survive, multiply and tolerate antibiotics within macrophages",2019,10.1371/journal.ppat.1008123,Scopus,10.1371/journal.ppat.1008123
The high prevalence of antibiotic heteroresistance in pathogenic bacteria is mainly caused by gene amplification,2019,10.1038/s41564-018-0342-0,Scopus,10.1038/s41564-018-0342-0
The molecular mechanism of structural changes in the antimicrobial peptide CM15 upon complex formation with drug molecule suramin: A computational analysis,2019,10.1039/c9cp00471h,Scopus,10.1039/c9cp00471h
The Molecular Mechanisms Underlying Hidden Phenotypic Variation among Metallo-β-Lactamases,2019,10.1016/j.jmb.2019.01.041,Scopus,10.1016/j.jmb.2019.01.041
The review of differential equation models of HBV infection dynamics,2019,10.1016/j.jviromet.2019.01.014,Scopus,10.1016/j.jviromet.2019.01.014
The role of conserved residues in the catalytic activity of NDM-1: An approach involving site directed mutagenesis and molecular dynamics,2019,10.1039/c9cp02734c,Scopus,10.1039/c9cp02734c
Toxin ζ reduces the atp and modulates the uridine diphosphate-n-acetylglucosamine pool,2019,10.3390/toxins11010029,Scopus,10.3390/toxins11010029
Unique structural features of a bacterial autotransporter adhesin suggest mechanisms for interaction with host macromolecules,2019,10.1038/s41467-019-09814-6,Scopus,10.1038/s41467-019-09814-6
Zika virus production is resistant to rnase L antiviral activity,2019,10.1128/JVI.00313-19,Scopus,10.1128/jvi.00313-19
Zinc-binding to the cytoplasmic PAS domain regulates the essential WalK histidine kinase of Staphylococcus aureus,2019,10.1038/s41467-019-10932-4,Scopus,10.1038/s41467-019-10932-4
(Thia)calixarenephosphonic Acids as Potent Inhibitors of the Nucleic Acid Chaperone Activity of the HIV-1 Nucleocapsid Protein with a New Binding Mode and Multitarget Antiviral Activity,2020,10.1021/acsinfecdis.9b00290,Scopus,10.1021/acsinfecdis.9b00290
"12th International Conference on Bioinformatics and Computational Biology, BICOB 2020",2020,,Scopus,12th international conference on bioinformatics and computational biology bicob 2020_2020
15-LOX-1 has diverse roles in the resensitization of resistant cancer cell lines to doxorubicin,2020,10.1002/jcp.29375,Scopus,10.1002/jcp.29375
"35th Annual ACM Symposium on Applied Computing, SAC 2020",2020,,Scopus,35th annual acm symposium on applied computing sac 2020_2020
A Coupled Mathematical Model of the Intracellular Replication of Dengue Virus and the Host Cell Immune Response to Infection,2020,10.3389/fmicb.2020.00725,Scopus,10.3389/fmicb.2020.00725
A Potential Inhibitor of MCR-1: An Attempt to Enhance the Efficacy of Polymyxin Against Multidrug-Resistant Bacteria,2020,10.1007/s00284-020-02096-y,Scopus,10.1007/s00284-020-02096-y
A retrospective whole-genome sequencing analysis of carbapenem and colistin-resistant klebsiella pneumoniae nosocomial strains isolated during an MDR surveillance program,2020,10.3390/antibiotics9050246,Scopus,10.3390/antibiotics9050246
A spatiotemporal model of drug resistance in bacteria with mutations,2020,10.13137/2464-8728/30763,Scopus,10.13137/2464-8728/30763
A survey of within-host and between-hosts modelling for antibiotic resistance,2020,10.1016/j.biosystems.2020.104182,Scopus,10.1016/j.biosystems.2020.104182
A three-dimensional intestinal tissue model reveals factors and small regulatory RNAs important for colonization with Campylobacter jejuni,2020,10.1371/journal.ppat.1008304,Scopus,10.1371/journal.ppat.1008304
Adaptive evolution of geobacter sulfurreducens in coculture with pseudomonas aeruginosa,2020,10.1128/mBio.02875-19,Scopus,10.1128/mbio.02875-19
"Antibiotic adsorption by metal-organic framework (UiO-66): A comprehensive kinetic, thermodynamic, and mechanistic study",2020,10.3390/antibiotics9100722,Scopus,10.3390/antibiotics9100722
Application of structure-based methods to analyze resistance mutations for chemically diverse non-nucleoside reverse transcriptase inhibitors,2020,10.2174/1570162X18666200603141209,Scopus,10.2174/1570162x18666200603141209
Benchmarking bacterial genome-wide association study methods using simulated genomes and phenotypes,2020,10.1099/mgen.0.000337,Scopus,10.1099/mgen.0.000337
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,2020,10.1021/acschembio.0c00791,Scopus,10.1021/acschembio.0c00791
Can we exploit β-lactamases intrinsic dynamics for designing more effective inhibitors?,2020,10.3390/antibiotics9110833,Scopus,10.3390/antibiotics9110833
Computational investigation for modeling the protein–protein interaction of TasA(28–261)–TapA(33–253): a decisive process in biofilm formation by Bacillus subtilis,2020,10.1007/s00894-020-04507-0,Scopus,10.1007/s00894-020-04507-0
Computational prospecting for the pharmacological mechanism of activi-ty: HIV-1 inhibition by ixoratannin A-2,2020,10.2174/1573409915666190702111023,Scopus,10.2174/1573409915666190702111023
Configuration Flipping in Distal Pocket of Multidrug Transporter MexB Impacts the Efflux Inhibitory Mechanism,2020,10.1002/cphc.202000759,Scopus,10.1002/cphc.202000759
Contrasting patterns of isotype-1 β-tubulin allelic diversity in Haemonchus contortus and Haemonchus placei in the southern USA are consistent with a model of localised emergence of benzimidazole resistance,2020,10.1016/j.vetpar.2020.109240,Scopus,10.1016/j.vetpar.2020.109240
"Design, screening, and testing of non-rational peptide libraries with antimicrobial activity: In silico and experimental approaches",2020,10.3390/antibiotics9120854,Scopus,10.3390/antibiotics9120854
Determining the unbinding events and conserved motions associated with the pyrazinamide release due to resistance mutations of Mycobacterium tuberculosis pyrazinamidase,2020,10.1016/j.csbj.2020.05.009,Scopus,10.1016/j.csbj.2020.05.009
Differences in HIV markers between infected individuals treated with different ART regimens: Implications for the persistence of viral reservoirs,2020,10.3390/v12050489,Scopus,10.3390/v12050489
Differentially Regulated Transcription Factors and ABC Transporters in a Mitochondrial Dynamics Mutant Can Alter Azole Susceptibility of Aspergillus fumigatus,2020,10.3389/fmicb.2020.01017,Scopus,10.3389/fmicb.2020.01017
Discovery of a Potent Adenine-Benzyltriazolo-Pleuromutilin Conjugate with Pronounced Antibacterial Activity against MRSA,2020,10.1021/acs.jmedchem.0c01328,Scopus,10.1021/acs.jmedchem.0c01328
Dissecting the molecular mechanism of colistin resistance in mcr-1 bacteria,2020,10.1021/acs.jcim.0c01051,Scopus,10.1021/acs.jcim.0c01051
Dynamics of mycobacteriophage-Mycobacterial host interaction,2020,10.1007/978-1-0716-0389-5_19,Scopus,10.1007/978-1-0716-0389-5_19
Elucidation of role of an acetyltransferase like protein in paromomycin resistance in Leishmania donovani using in silico and in vitro approaches,2020,10.1080/07391102.2019.1682674,Scopus,10.1080/07391102.2019.1682674
Emergence and magnitude of ML336 resistance in venezuelan equine encephalitis virus depend on the microenvironment,2020,10.1128/JVI.00317-20,Scopus,10.1128/jvi.00317-20
Epigenetic reprogramming at estrogen-receptor binding sites alters 3D chromatin landscape in endocrine-resistant breast cancer,2020,10.1038/s41467-019-14098-x,Scopus,10.1038/s41467-019-14098-x
Evaluating insecticide resistance across african districts to aid malaria control decisions,2020,10.1073/pnas.2006781117,Scopus,10.1073/pnas.2006781117
Evolutionary entanglement of mobile genetic elements and host defence systems: guns for hire,2020,10.1038/s41576-019-0172-9,Scopus,10.1038/s41576-019-0172-9
Exposure of mycobacterium avium subsp. Homonissuis to metal concentrations of the phagosome environment enhances the selection of persistent subpopulation to antibiotic treatment,2020,10.3390/antibiotics9120927,Scopus,10.3390/antibiotics9120927
Fracture toughness and crack resistance curves of acrylic bone cements,2020,10.1002/jbm.b.34537,Scopus,10.1002/jbm.b.34537
"Functional characterization of the n-acetylmuramyl-l-alanine amidase, ami1, from Mycobacterium abscessus",2020,10.3390/cells9112410,Scopus,10.3390/cells9112410
Genome-Scale Metabolic Modeling for Unraveling Molecular Mechanisms of High Threat Pathogens,2020,10.3389/fcell.2020.566702,Scopus,10.3389/fcell.2020.566702
Heterocycle amide isosteres: An approach to overcoming resistance for HIV-1 integrase strand transfer inhibitors,2020,10.1016/j.bmcl.2019.126784,Scopus,10.1016/j.bmcl.2019.126784
Identification of inhibitor binding hotspots in Acinetobacter baumannii β-ketoacyl acyl carrier protein synthase III using molecular dynamics simulation,2020,10.1016/j.jmgm.2020.107669,Scopus,10.1016/j.jmgm.2020.107669
Identification of novel mutations in RNA-dependent RNA polymerases of SARS-CoV-2 and their implications on its protein structure,2020,10.7717/peerj.9492,Scopus,10.7717/peerj.9492
Identification of protease inhibition mechanism by iturin a against agriculture cutworm (Spodoptera litura) by homology modeling and molecular dynamics,2020,10.2174/1875036202013010119,Scopus,10.2174/1875036202013010119
IkBa Nuclear Export Enables 4-1BB–Induced cRel Activation and IL-2 Production to Promote CD8 T Cell Immunity,2020,10.4049/jimmunol.2000039,Scopus,10.4049/jimmunol.2000039
Impact of strain competition on bacterial resistance in immunocompromised populations,2020,10.3390/antibiotics9030114,Scopus,10.3390/antibiotics9030114
In silico based unraveling of New Delhi metallo-β-lactamase (NDM-1) inhibitors from natural compounds: a molecular docking and molecular dynamics simulation study,2020,10.1080/07391102.2019.1627248,Scopus,10.1080/07391102.2019.1627248
Influence of the MUC1 Cell Surface Mucin on Gastric Mucosal Gene Expression Profiles in Response to Helicobacter pylori Infection in Mice,2020,10.3389/fcimb.2020.00343,Scopus,10.3389/fcimb.2020.00343
Instability of aquaglyceroporin (Aqp) 2 contributes to drug resistance in trypanosoma brucei,2020,10.1371/journal.pntd.0008458,Scopus,10.1371/journal.pntd.0008458
Interaction of quercetin with lasR of pseudomonas aeruginosa: Mechanistic insights of the inhibition of virulence through quorum sensing,2020,10.1007/978-3-030-31866-6_104,Scopus,10.1007/978-3-030-31866-6_104
Intracellular ABCB1 as a Possible Mechanism to Explain the Synergistic Effect of Hydroxychloroquine-Azithromycin Combination in COVID-19 Therapy,2020,10.1208/s12248-020-00465-w,Scopus,10.1208/s12248-020-00465-w
Intracellular Competitions Reveal Determinants of Plasmid Evolutionary Success,2020,10.3389/fmicb.2020.02062,Scopus,10.3389/fmicb.2020.02062
Intracellular Environment and agr System Affect Colony Size Heterogeneity of Staphylococcus aureus,2020,10.3389/fmicb.2020.01415,Scopus,10.3389/fmicb.2020.01415
Investigation of potential anti-pneumococcal effects of L-sulforaphane and metabolites: Insights from synchrotron-FTIR microspectroscopy and molecular docking studies,2020,10.1016/j.jmgm.2020.107568,Scopus,10.1016/j.jmgm.2020.107568
Klebsiella michiganensis transmission enhances resistance to Enterobacteriaceae gut invasion by nutrition competition,2020,10.1038/s41564-019-0658-4,Scopus,10.1038/s41564-019-0658-4
Large-scale network analysis captures biological features of bacterial plasmids,2020,10.1038/s41467-020-16282-w,Scopus,10.1038/s41467-020-16282-w
Lipid/Hyaluronic Acid–Coated Doxorubicin-Fe3O4 as a Dual-Targeting Nanoparticle for Enhanced Cancer Therapy,2020,10.1208/s12249-020-01764-3,Scopus,10.1208/s12249-020-01764-3
Liposomes Loaded With Phosphatidylinositol 5-Phosphate Improve the Antimicrobial Response to Pseudomonas aeruginosa in Impaired Macrophages From Cystic Fibrosis Patients and Limit Airway Inflammatory Response,2020,10.3389/fimmu.2020.532225,Scopus,10.3389/fimmu.2020.532225
Mechanisms of drug interactions between translation-inhibiting antibiotics,2020,10.1038/s41467-020-17734-z,Scopus,10.1038/s41467-020-17734-z
Mechanistic Insight Into the Antifungal Effects of a Fatty Acid Derivative Against Drug-Resistant Fungal Infections,2020,10.3389/fmicb.2020.02116,Scopus,10.3389/fmicb.2020.02116
Mechanistic modeling explains the dsRNA length-dependent activation of the RIG-I mediated immune response,2020,10.1016/j.jtbi.2020.110336,Scopus,10.1016/j.jtbi.2020.110336
Mechanistic understanding enables the rational design of salicylanilide combination therapies for gram-negative infections,2020,10.1128/mBio.02068-20,Scopus,10.1128/mbio.02068-20
Membrane targeting antimicrobial cyclic peptide nanotubes – an experimental and computational study,2020,10.1016/j.colsurfb.2020.111349,Scopus,10.1016/j.colsurfb.2020.111349
Microenvironmental determinants of pancreatic cancer,2020,10.1152/physrev.00042.2019,Scopus,10.1152/physrev.00042.2019
"Model Organisms for Microbial Pathogenesis, Biofilm Formation and Antimicrobial Drug Discovery",2020,10.1007/978-981-15-1695-5,Scopus,10.1007/978-981-15-1695-5
Modeling Antibiotic Use Strategies in Intensive Care Units: Comparing De-escalation and Continuation,2020,10.1007/s11538-019-00686-x,Scopus,10.1007/s11538-019-00686-x
"Modeling of Pneumonia and Acute Lung Injury: Bioinformatics, Systems Medicine, and Artificial Intelligence",2020,10.1016/B978-0-12-801238-3.11689-7,Scopus,10.1016/b978-0-12-801238-3.11689-7
Molecular and biochemical insights into the in vivo evolution of ampc-mediated resistance to ceftolozane/tazobactam during treatment of an MDR pseudomonas aeruginosa infection,2020,10.1093/jac/dkaa291,Scopus,10.1093/jac/dkaa291
"Molecular basis of the beta-lactamase protein using comparative modelling, drug screening and molecular dynamics studies to understand the resistance of β-lactam antibiotics",2020,10.1007/s00894-020-04459-5,Scopus,10.1007/s00894-020-04459-5
Molecular evaluation of quorum quenching potential of vanillic acid against yersinia enterocolitica through transcriptomic and in silico analysis,2020,10.1099/jmm.0.001261,Scopus,10.1099/jmm.0.001261
Molecular investigation against the resistant mechanism of PncA mutated pyrazinamide resistance and insight into the role of pH environment for pyrazinamide activation,2020,10.1080/07391102.2019.1659854,Scopus,10.1080/07391102.2019.1659854
Mycobacterium tuberculosis FasR senses long fatty acyl-CoA through a tunnel and a hydrophobic transmission spine,2020,10.1038/s41467-020-17504-x,Scopus,10.1038/s41467-020-17504-x
"N-benzyl 4,4-disubstituted piperidines as a potent class of influenza H1N1 virus inhibitors showing a novel mechanism of hemagglutinin fusion peptide interaction",2020,10.1016/j.ejmech.2020.112223,Scopus,10.1016/j.ejmech.2020.112223
